Aluno:  ;;;;;;;;;;;Avaliação de Habilidades Básicas e de Aprendizagem - Revisado;;;;;;;;;;;;;;;;;
;;;13/set;;;Código de cores;;;;;Sistema de rastreamento de habilidades;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;C57;;;;;Seleciona figuras de interação social;;;;;;;;;;;
;;;;;;;;;;;;C56;;;;;Seleciona não exemplos;;;;;;;;;;;
;;;;;;;;;;;;C55;;;;;"Seleciona ""igual"" e ""diferente""";;;;;;;;;;;
;;;;;;;;;;;;C54;;;;;Seleciona figuras de emoções;;;;;;;;;;;
;;;;;;Legenda;;;;;;C53;;;;;Seleciona figura de locação ou cena de atividade;;;;;;;;;;;
;;;;;Possui a habilidade;;;;;;;C52;;;;;Seleciona pronomes;;;;;;;;;;;
;;;;;Não possui a habilidade;;;;;;;C51;;;;;Seleciona preposição;;;;;;;;;;;
;;;;;Não foi possível avaliar;;;;;;;C50;;;;;Seleciona 3 itens numa sequência específica;;;;;;;;;;;
;;;;;;;;;;;;C49;;;;;Seleciona um grupo de itens com 2 características;;;;;;;;;;;
;;;;;;;;;;;;C48;;;;;Seleciona um grupo de intens com uma característica;;;;;;;;;;;
;;;;;;;;;;;;C47;;;;;Seleciona itens com 2 características;;;;;;;;;;;
;;;;;;;;;;;;C46;;;;;Seleciona todos os exemplos de um item;;;;;;;;;;;
;;;;;;;;;;;;C45;;;;;Seleciona sons comuns;;;;;;;;;;;
;;;;;;;;;;;;C44;;;;;Localiza objetos a partir de partes do objeto numa figura mais complexa;;;;;;;;;;;
;;;;;;;;;;;;C43;;;;;Seleciona objetos em figuras maiores e mais complexas;;;;;;;;;;;
;;;;;;;;;;;;C42;;;;;Seleciona profissões;;;;;;;;;;;
;;;;;;;;;;;;C41;;;;;Seleciona dois itens em sequência de um arranjo maior;;;;;;;;;;;
;;;;;;;;;;;;C40;;;;;Seleciona dois itens de um grupo maior;;;;;;;;;;;
;;;;;;;;;;;;C39;;;;;Seleciona por classe;;;;;;;;;;;
;;;;;;;;;;;;C38;;;;;Seleciona por característica;;;;;;;;;;;
;;;;;;;;;;;;C37;;;;;Seleciona por função;;;;;;;;;;;
;;;;;;;;;;;;C36;;;;;Seleciona figuras associadas;;;;;;;;;;;
;;;;;;;;;;;;C35;;;;;Seleciona a figura de uma ação específica;;;;;;;;;;;
;;;;;;;;;;;;C34;;;;;Finge que executa uma ação;;;;;;;;;;;
;;;;;;;;;;;;C33;;;;;Multiplas ações com um objeto;;;;;;;;;;;
;;;;;;;;;;;;C32;;;;;Seleciona o item correto para executar uma ação específica;;;;;;;;;;;
;;;;;;;;;;;;C31;;;;;Seleciona itens usando uma ação motora específica;;;;;;;;;;;
;;;;;;;;;;;;C30;;;;;Segue instrução para ir até uma pessoa e executar uma ação específica;;;;;;;;;;;
;;;;;;;;;;;;C29;;;;;Pega um item de uma pessoa ou local específico;;;;;;;;;;;
;;;;;;;;;;;;C28;;;;;Segue a instrução de entregar um item para uma pessoa;;;;;;;;;;;
